Route,Location,URL,Avg Stars,Your Stars,Route Type,Rating,Pitches,Length,Area Latitude,Area Longitude,YDS,V-grade,Route Danger Rating
Unknown V3+,Hypertension > Vedauwoo > Laramie Area > Wyoming,https://www.mountainproject.com/route/113211013/unknown-v3,3.0,-1,Boulder,V3,1,,41.18484,-105.37826,,V3,
Unknown V3,Hypertension > Vedauwoo > Laramie Area > Wyoming,https://www.mountainproject.com/route/113211046/unknown-v3,3.0,-1,Boulder,V3,1,,41.18484,-105.37826,,V3,
Raspberry Crack,Gorilla Rock > Vedauwoo > Laramie Area > Wyoming,https://www.mountainproject.com/route/112145304/raspberry-crack,3.5,-1,Boulder,V1-2,1,20.0,41.14073,-105.30252,,V1-2,
Paths to Gloria,Gorilla Rock > Vedauwoo > Laramie Area > Wyoming,https://www.mountainproject.com/route/112145240/paths-to-gloria,3.0,-1,Boulder,V2-3,1,15.0,41.14073,-105.30252,,V2-3,
Mexican Miracle Water,Gorilla Rock > Vedauwoo > Laramie Area > Wyoming,https://www.mountainproject.com/route/105838427/mexican-miracle-water,4.0,-1,"Trad, Boulder",5.11- V3,1,15.0,41.14073,-105.30252,5.11-,V3,
Unknown 5.9 Dihedral,Roof Ranch > Vedauwoo > Laramie Area > Wyoming,https://www.mountainproject.com/route/109652920/unknown-59-dihedral,3.0,-1,Boulder,5.9 V-easy,1,20.0,41.18484,-105.37826,5.9,,
Warmup Boulder Left,Roof Ranch > Vedauwoo > Laramie Area > Wyoming,https://www.mountainproject.com/route/109652951/warmup-boulder-left,1.0,-1,Boulder,5.5 V-easy,1,15.0,41.18484,-105.37826,5.5,,
Warmup Boulder Right,Roof Ranch > Vedauwoo > Laramie Area > Wyoming,https://www.mountainproject.com/route/109652956/warmup-boulder-right,2.0,-1,Boulder,5.5 V-easy,1,15.0,41.18484,-105.37826,5.5,,
Unknown Crack to Arete,Roof Ranch > Vedauwoo > Laramie Area > Wyoming,https://www.mountainproject.com/route/109652933/unknown-crack-to-arete,2.0,-1,Boulder,5.9 V0 R,1,35.0,41.18484,-105.37826,5.9,V0,R
Greenhorn Traverse,Roof Ranch > Vedauwoo > Laramie Area > Wyoming,https://www.mountainproject.com/route/105819582/greenhorn-traverse,1.5,-1,Boulder,V2,1,15.0,41.18484,-105.37826,,V2,
David,Roof Ranch > Vedauwoo > Laramie Area > Wyoming,https://www.mountainproject.com/route/105819587/david,1.0,-1,Boulder,V2,1,10.0,41.18484,-105.37826,,V2,
Electric Mexican,Roof Ranch > Vedauwoo > Laramie Area > Wyoming,https://www.mountainproject.com/route/105819481/electric-mexican,2.6,-1,Boulder,V3,1,10.0,41.18484,-105.37826,,V3,
